"latitude","longitude","name"
"11.003232","125.631135","Manicani Island, Guiuan, Philippines"
"10.920038","124.711673","Albuera, Philippines"
"10.730108","125.729768","Homonhon Island, Guiuan, Philippines"
"10.916667","124.7","Albuera, Philippines"
"10.243889","123.833333","Talisay City, Philippines"
"11.20959","124.999657","Tacloban City, Philippines"
"11.158383","124.991888","Palo, Philippines"
"11.035248","125.724502","Guiuan, Philippines"
"11.324581","125.621442","Hernani, Philippines"
"11.354571","125.470382","Llorente, Philippines"
"11.333333","125.583333","Hernani, Philippines"
"11.041","124.961","Tabontabon, Philippines"
"11.136898","123.723501","Bantayan Island, Philippines"
"11.29579","123.732475","Madridejos, Philippines"
"10.953","125.035605","Dulag, Philippines"
"10.846648","125.765861","Little Balading Island, Catbalogan City, Philippines"
"11.200681","123.74909","Bantayan Island"
"11.419","123.111","Batad, Panay Island, Philippines"
"11.335846","124.115636","Malapascua Island, Daanbantayan, Philippines"
"11.060222","124.566796","Ormoc City, Philippines"
"11.134625","124.411026","Palompon, Biliran, Villaba (Nabal), Leyte, Philippines"
"11.46101","123.153099","Estancia, Philippines"
"11.739026","120.009619","Culion, Palawan"
"11.835278","119.993333","Culion, Philippines"
"10.940356","125.826904","Sulangan, giuian, Philippines"
"11.599155","121.695334","Manigin Island, Batbatan Island, Culasi, Antique"
"11.470365","121.915875","Batbatan Island, minigin island, Culasi, Antique, Philippines"
"11.200168","123.339573","Baliguian Island, Concepcion, Philippines"
"11.199334","123.341223","Baliguian island, Philippines"
"11.845398","121.371672","Caluya, Philippines"
"11.913936","121.389525","Caluya, Philippines"
"11.434314","123.187414","Bayas Island, Binuluangan Island, Gigante Islands, Sicogon Island, Estancia, Carles, Iloilo"
"11.433641","120.822607","Quinilibuan islands, Agutaya, Palawan"
